country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_newinc,c_newinc_next_year,c_newinc_percent_change_next_year,case_change_direction,low_c_newinc_flag,temporal_analysis_cohort_flag
Ecuador,ECU,2019,AMR,0.8860731840524304,0.06608410704533042,,False,False,False,6348.0,5268.0,-17.01323251417769,Rückgang,False,True
Ecuador,ECU,2020,AMR,0.86002886002886,0.04383975812547241,,False,False,False,5268.0,5595.0,6.207289293849659,Anstieg,False,True
Ecuador,ECU,2021,AMR,0.9048251438689686,0.08056662239929172,,False,False,False,5595.0,6922.0,23.717605004468275,Anstieg,False,True
Ecuador,ECU,2022,AMR,0.9364607273218872,0.05718534541030147,,False,False,False,6922.0,8301.0,19.921987864778963,Anstieg,False,True
Ecuador,ECU,2023,AMR,0.7722745332825341,0.017580144777662874,,False,False,False,8301.0,9370.0,12.87796651005903,Anstieg,False,True
Egypt,EGY,2019,EMR,0.8502874834144184,0.05030959752321981,0.8615384615384616,False,False,False,8046.0,6982.0,-13.22396221725081,Rückgang,False,False
Egypt,EGY,2022,EMR,0.909302928219746,0.12788287121015807,0.7993920972644377,False,False,False,7967.0,9312.0,16.8821388226434,Anstieg,False,False
Egypt,EGY,2023,EMR,0.729920650280627,0.05259338107218889,,False,False,False,9312.0,10658.0,14.454467353951891,Anstieg,False,False
Eritrea,ERI,2019,AFR,0.05309734513274336,0.09498525073746313,,False,False,False,1828.0,1594.0,-12.800875273522976,Rückgang,False,False
Eritrea,ERI,2022,AFR,1.0,,0.9957716701902748,True,False,False,1963.0,2220.0,13.092205807437596,Anstieg,False,False
Eritrea,ERI,2023,AFR,1.0,,0.9959286545172548,True,False,False,2220.0,1745.0,-21.396396396396398,Rückgang,False,False
Ethiopia,ETH,2019,AFR,0.8902705000855838,,,False,False,False,111039.0,108193.0,-2.563063428164879,Rückgang,False,True
Ethiopia,ETH,2020,AFR,0.9308046511335725,0.055098720372894774,,False,False,False,108193.0,104606.0,-3.3153716044476074,Rückgang,False,True
Ethiopia,ETH,2021,AFR,0.892148603681395,0.11294806452971652,,False,False,False,104606.0,113638.0,8.634303959619908,Anstieg,False,True
Ethiopia,ETH,2022,AFR,0.9398548802259968,0.1779832366585168,0.7145446854794851,False,False,False,113638.0,134873.0,18.686530913954837,Anstieg,False,True
Ethiopia,ETH,2023,AFR,1.0,0.27900111409457995,0.8360230388458495,True,False,False,134873.0,149902.0,11.14307533753976,Anstieg,False,True
Fiji,FJI,2019,WPR,0.7975308641975308,0.2777777777777778,0.3022222222222222,False,False,False,472.0,431.0,-8.686440677966102,Rückgang,False,False
Fiji,FJI,2020,WPR,1.0,1.0,0.5986696230598669,True,True,False,431.0,342.0,-20.649651972157773,Rückgang,False,False
Fiji,FJI,2021,WPR,1.0,1.0,0.16806722689075632,True,True,False,342.0,571.0,66.95906432748538,Anstieg,False,False
Fiji,FJI,2022,WPR,1.0,0.9966777408637874,0.6466666666666666,True,False,False,571.0,391.0,-31.523642732049034,Rückgang,False,False
France,FRA,2021,EUR,0.829295154185022,,,False,False,False,4042.0,3831.0,-5.220188025729837,Rückgang,False,False
Micronesia (Federated States of),FSM,2019,WPR,0.868020304568528,0.1319796954314721,,False,False,False,91.0,92.0,1.098901098901099,Anstieg,False,True
Micronesia (Federated States of),FSM,2020,WPR,0.36705882352941177,0.1223529411764706,0.3269230769230769,False,False,False,92.0,72.0,-21.73913043478261,Rückgang,False,True
Micronesia (Federated States of),FSM,2021,WPR,0.5714285714285714,0.2987012987012987,0.08695652173913043,False,False,False,72.0,48.0,-33.33333333333333,Rückgang,False,True
Micronesia (Federated States of),FSM,2022,WPR,0.061046511627906974,0.0436046511627907,,False,False,False,48.0,211.0,339.58333333333337,Anstieg,False,True
Micronesia (Federated States of),FSM,2023,WPR,0.10927152317880795,0.052980132450331126,1.0,False,False,True,211.0,141.0,-33.175355450236964,Rückgang,False,True
United Kingdom of Great Britain and Northern Ireland,GBR,2023,EUR,0.765123570638141,0.1066949465142014,0.8228176318063959,False,False,False,5275.0,5941.0,12.625592417061613,Anstieg,False,False
Ghana,GHA,2019,AFR,0.09341819675016132,0.0005279521323400012,1.0,False,False,True,14691.0,12674.0,-13.729494248179158,Rückgang,False,True
Ghana,GHA,2020,AFR,0.910989678202793,0.01068609593199757,,False,False,False,12674.0,13401.0,5.736152753668929,Anstieg,False,True
